Câu hỏi,LOẠI,DATASET
Con gà là con gì,DESC.def,TRAIN
Định nghĩa định lí pytago là gì,DESC.def,TRAIN
Thế nào gọi là bò sát,DESC.def,TRAIN
Thế nào gọi là gia cầm,DESC.def,TRAIN
Thế nào gọi là động vật có vú,DESC.def,TRAIN
Thế nào gọi là hiệu ứng nhà kính,DESC.def,TRAIN
Định nghĩa của môi trường sống,DESC.def,TRAIN
Quả cam có vị chua như thế nào,DESC.desc,TRAIN
Trời hôm nay nóng như thế nào,DESC.desc,TRAIN
Cơm mẹ nấu ngon như thế nào,DESC.desc,TRAIN
Tỉ phú Phạm Nhật Vượng giàu như thế nào,DESC.desc,TRAIN
Giá đất đắt như thế nào,DESC.desc,TRAIN
Xe Mercedes mắc như thế nào,DESC.desc,TRAIN
Tại sao đènh xanh lại phải đi,DESC.reason,TRAIN
Tại sao mật ong lại ngọt,DESC.reason,TRAIN
Tại sao tránh uống cafe vào buổi tối,DESC.reason,TRAIN
Tại sao không nên ăn nhiều vào ban đêm,DESC.reason,TRAIN
Tại sao không nên thức khuya,DESC.reason,TRAIN
Tại sao nên đánh răng trước khi đi ngủ,DESC.reason,TRAIN
Nên mua samsung hay iphone,DESC.reason,TRAIN
Nên nuôi mèo hay nuôi chó,DESC.reason,TRAIN
Tiếng nhật nói thế nào,ENTY,TRAIN
Tiếng anh nói khó không,ENTY,TRAIN
Tiếng anh gồm mấy thì,ENTY,TRAIN
Có bao nhiêu bảng chữ cái tiếng nhật,ENTY,TRAIN
Tiếng nhật học mệt không,ENTY,TRAIN
Bóng đá vui không,ENTY,TRAIN
Seagames gồm bao nhiêu môn thể thao,ENTY,TRAIN
Môn thể thao giúp giảm đau lưng là môn gì,ENTY,TRAIN
anh ta có tốt không,HUM.desc,TRAIN
anh ta đẹp trai như thế nào,HUM.desc,TRAIN
Cô ấy nấu ăn ngon không,HUM.desc,TRAIN
Cô ấy có hiền không,HUM.desc,TRAIN
Cô ấy có tốt bụng không,HUM.desc,TRAIN
Cô ấy có mập không,HUM.desc,TRAIN
Cô ấy có giúp đỡ mọi người không,HUM.desc,TRAIN
Tổ chức y tế thế giớ gồm những ai,HUM.group,TRAIN
công ty VCB gồm bao nhiêu người,HUM.group,TRAIN
những người trong công ty đó có tốt không,HUM.group,TRAIN
Team chúng ta trong tuần này làm việc hiệu quả không,HUM.group,TRAIN
Tổ trực bảo vệ ban đêm làm có tốt không,HUM.group,TRAIN
Gia đình bạn gồm mấy người,HUM.group,TRAIN
Công ty đó trả lương nhân viên cao không,HUM.group,TRAIN
Xóm trọ đó có yên tĩnh không,HUM.group,TRAIN
Anh ta cao bao nhiêu,HUM.ind,TRAIN
Anh ta nặng bao nhiêu,HUM.ind,TRAIN
Số CMND của bạn,HUM.ind,TRAIN
Bạn sinh vào ngày nào,HUM.ind,TRAIN
Bạn thích ăn món gì,HUM.ind,TRAIN
Bạn không thích ăn món gì,HUM.ind,TRAIN
Bạn thích màu đen hay màu hồng,HUM.ind,TRAIN
Bạn thích xe ôtô hay xe máy,HUM.ind,TRAIN
Bạn muốn nuôi chó hay nuôi mèo,HUM.ind,TRAIN
Thành phố HCM gồm mấy quận,LOC.city,TRAIN
dân số của Thành phố HCM,LOC.city,TRAIN
 diện tích của Thành phố HCM,LOC.city,TRAIN
Thời tiết của Thành phố HCM hôm nay,LOC.city,TRAIN
Hà nội có đẹp không,LOC.city,TRAIN
Giía cả ở Thành phố HCM có đắt không,LOC.city,TRAIN
Thành phố HCM có biển không,LOC.city,TRAIN
Thành phố HCM có núi không,LOC.city,TRAIN
Thành phố HCM cí đẹp không,LOC.city,TRAIN
Thành phố HCM có khí hậu như thế nào,LOC.city,TRAIN
Thái Lan có đẹp không,LOC.country,TRAIN
Trung Quốc có lớn không,LOC.country,TRAIN
Nước Mỹ có an toàn không,LOC.country,TRAIN
Campuchia có biển không,LOC.country,TRAIN
Lào có đặc sản gì,LOC.country,TRAIN
Đặc sản Việt Nam là gì,LOC.country,TRAIN
Đặc sản Thái Lan là gì,LOC.country,TRAIN
Trung Quốc gồm bao nhiêu tỉnh,LOC.country,TRAIN
Thái Lan có bao nhiêu dân tộc,LOC.country,TRAIN
Ngày ra đời của máy tính,NUM.date,TRAIN
 Ngày ra đời của máy ATM,NUM.date,TRAIN
Hạn sử dụng của bánh mì,NUM.date,TRAIN
Còn bao nhiêu ngày nữa là thi ,NUM.date,TRAIN
Ngày đi bầu cử là ngày bao nhiêu,NUM.date,TRAIN
Ngày chủ nhật là ngay bao nhiêu,NUM.date,TRAIN
Năm nay có bao nhiêu ngày chủ nhật,NUM.date,TRAIN
Ngày sinh của Chủ tịch nước,NUM.date,TRAIN
"viết tắt của ""pound per square inch"" là gì?",ABBR.abb,TRAIN
viết tắt của Lực lượng Hiến binh Đặc nhiệm Quốc gia Pháp là gì?,ABBR.abb,TRAIN
viết tắt của đại học khoa học tự nhiên là gì?,ABBR.abb,TRAIN
viết tắt của đại học bách khoa là gì,ABBR.abb,TRAIN
viết tắt của United States là gì?,ABBR.abb,TRAIN
viết tắt của United Kingdom là gì?,ABBR.abb,TRAIN
viết tắt của mililitre là gì?,ABBR.abb,TRAIN
viết tắt của centimet là gì?,ABBR.abb,TRAIN
viết tắt của kilomet là gì?,ABBR.abb,TRAIN
PSI là viết tắt của gì?,ABBR.exp,TRAIN
GIGN là viết tắt của gì?,ABBR.exp,TRAIN
HCMUS là viết tắt của gì?,ABBR.exp,TRAIN
HCMUT là viết tắt của gì?,ABBR.exp,TRAIN
CDC là viết tắt của gì?,ABBR.exp,TRAIN
U.S. là viết tắt của gì?,ABBR.exp,TRAIN
UK là viết tắt của gì?,ABBR.exp,TRAIN
mm là viết tắt của gì?,ABBR.exp,TRAIN
km là viết tắt của gì?,ABBR.exp,TRAIN
khoa học máy tính là gì?,DESC.def,TRAIN
Nhật thực là gì?,DESC.def,TRAIN
tàu điện ngầm là gì?,DESC.def,TRAIN
đại dương là gì?,DESC.def,TRAIN
nguồn gốc của hố đen vũ trụ?,DESC.desc,TRAIN
nguồn gốc của sự sống trên trái đất?,DESC.desc,TRAIN
lịch sử của bóng đá?,DESC.desc,TRAIN
nguồn gốc của từ hán việt?,DESC.desc,TRAIN
nguồn gốc của điện thoại?,DESC.desc,TRAIN
nguồn gốc của truyền thanh radio?,DESC.desc,TRAIN
nguồn gốc của máy tính để bàn?,DESC.desc,TRAIN
chuyện gì đã xảy ra với John F.Kennedy?,DESC.desc,TRAIN
tại sao khủng long bị tuyệt chủng?,DESC.reason,TRAIN
điều gì dẫn đến thế chiến thứ nhất?,DESC.reason,TRAIN
tại sao tàu titanic chìm?,DESC.reason,TRAIN
tại sao chim bay được?,DESC.reason,TRAIN
tại sao bầu trời màu xanh?,DESC.reason,TRAIN
tại sao Hoa Kỳ ném bom nguyên tử Nhật Bản?,DESC.reason,TRAIN
tại sao Michael Jackson qua đời?,DESC.reason,TRAIN
tại sao The Beatles tan rã?,DESC.reason,TRAIN
quốc hoa của Việt Nam là gì?,ENTY,TRAIN
con vật có kích thước to nhất Trái Đất?,ENTY,TRAIN
thú mỏ vịt là con gì?,ENTY,TRAIN
phô mai được làm từ gì?,ENTY,TRAIN
loài vật biểu tượng của Hoa Kỳ?,ENTY,TRAIN
album bán chạy nhất thế giới?,ENTY,TRAIN
hoa nào được mệnh danh là nữ hoàng của các loài hoa?,ENTY,TRAIN
thuỷ tinh được làm từ gì?,ENTY,TRAIN
